忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
地平线的奇幻漂流,0,10,好评,前一段还真的笑得喘不过来气，到后面眼睛不时地湿润起来，真的是从骨子里的不认命，不信天命，真的就是中国人千百年来的血脉精神，值得一看，不进对孩子有更深的教育作用，真的是适合全部的中国人看
肥明,0,10,好评,良心国产，期待有第二部～哪吒和敖丙都好喜欢！
明勇1982,1,9,好评,一部对人性的点拨片，值得去看！
cau532984757,1,8,好评,非常好看。。
领创－小钟,2,10,好评,太好看了，完全颠覆我的这部剧开始的看法，有好几处地方我都哭了
我是蔡永强,2,10,好评,我敖丙丙打起架来多么的灵动飘逸啊，却拿了一对大铁锤当武器哈哈哈哈哈，大哪吒忒帅了就是出场时间太短了，已经二刷
闪电,0,10,好评,有泪点有笑点有剧情有打斗，特效不错
欲望满身,1,10,好评,笑中有泪，配得起高票房高口碑!
Optimist.,1,10,好评,真的真的超级好看！！大圣归来后又一份对国产动画电影的感动！！！(⁎⁍̴̛ᴗ⁍̴̛⁎)
崔文静,2,7,购票,感觉一般般吧
7,1,10,好评,好看，很感动。
胡っ芳,2,10,好评,画面震撼、情节感人，侧面又反映生活
谢T.T谢,2,10,好评,很好的家庭教育片！
念旧。,0,10,好评,真好，期待老姜出场
听你讲zl,0,10,好评,看完觉得真心不错 不枉费我大老远的跑去看 从看电影以来 第一次看这种类型的。觉得很好 有笑点 也有泪点 人物的动作 也很好。需要这部戏里哪吒的造型跟小时候看的动画片差异很大 但还是很喜欢 喜欢喜欢喜欢喜欢
醉卧沙场君莫笑,1,9,好评,哪吒，永远的
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
地平线的奇幻漂流,0,10,好评,前一段还真的笑得喘不过来气，到后面眼睛不时地湿润起来，真的是从骨子里的不认命，不信天命，真的就是中国人千百年来的血脉精神，值得一看，不进对孩子有更深的教育作用，真的是适合全部的中国人看
三天心情,2,9,好评,强烈推荐！帅爆了！藕霸和大圣有一拼！中国动画雄起！！！！！！
Jet98,1,9,好评,期待国产的封神宇宙！哪吒小爷本次表现可圈可点，酷，帅，有智商，有担当！希望票房大爆！在哪吒面前，谁也帅不起来！
一笑千金,2,10,好评,画风，情节都很奈斯，非常喜欢，建议去看
Raul Menendez,1,10,好评,剧情一流，作画一流，特效一流，不多说，吹爆，国产电影票房第三预订！提前恭喜
重庆链家_张帅林,1,10,好评,电影很不错  电影院有点垃圾…
云宝贝,2,10,好评,好看，感动的哭了👍👍👍
梦,2,10,好评,哪吒太帅了!男神!
A荣盛刘建辉,1,10,好评,值得带一家老小去影院
柏涛,1,10,好评,非常用心的一部作品，国产动画崛起，看哭了几次，厉害了，国产动画！
Y·STUDIO.💙（支持花呗）,2,10,好评,太棒啦～很好看
엘프 ,2,8,好评,敖丙敖丙，奈何哪吒变身的时候，次数太短了
Rainbow好可惜,0,10,好评,人心中的成见是一座大山
周丽聪😘LICO,0,10,好评,人之初，性本善！
Hamao,2,10,好评,原来黑眼圈不止有熊猫可爱
飞鸟VS游鱼ylj,1,10,好评,很高兴国内动画片水平能达到这种程度，以前很可惜功夫熊猫和花木兰让外国人拍了，现在对中国动画片信心百倍啊  加油  饺子你棒棒的
朱东升,1,10,好评,真的很好看，3D效果挺好的
尐熋櫫,0,10,好评,超级好看，笑了，也哭了。
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
地平线的奇幻漂流,0,10,好评,前一段还真的笑得喘不过来气，到后面眼睛不时地湿润起来，真的是从骨子里的不认命，不信天命，真的就是中国人千百年来的血脉精神，值得一看，不进对孩子有更深的教育作用，真的是适合全部的中国人看
三天心情,2,9,好评,强烈推荐！帅爆了！藕霸和大圣有一拼！中国动画雄起！！！！！！
Xkz827336812,1,10,好评,算是全场无尿点的。比较好的片子
荷塘小诗,2,6,购票,电影看着不错!就是电影院那声音效果太次了，声音忽大忽小，影响我看电影的心情！
siC603677957,0,10,好评,特别好，特别好
SLX汤圆1314,2,10,好评,有笑点，有哭点，看完之后觉得是社会的一个小缩影，哪吒不信命，申公豹有些可爱，李靖虽然严厉却对哪吒拼了命，人放不下成见，成见是一座大山。
cdD661782809,2,9,好评,感人，情节颠覆了以往对哪吒的形象，改得非常棒
愿子如画,0,10,好评,挺好看的，特效也不错，值得去看
小武,2,10,好评,整体效果特别棒！小哪吒痞帅痞帅的，很喜欢！看的又笑又哭导演你是故意逗我吗的嘛？😭
Echo徐杰,0,10,好评,好看！！非常喜欢
瑾年知几时,0,10,好评,还不错，剧情适合所有年纪的人
GsA436738239,0,10,好评,好看，剧情发展很有感触颇深
A惠安朝和食品15060853583,2,10,好评,非常好，赞！
劣舆,2,9,好评,二刷…！！！
奋斗的小人渣,0,9,好评,挺好看的，就是看的儿童太多有点吵
Pyp986140192,0,9,好评,电影好看，大老远跑来看，影院不大，但是3d眼镜不免费提供，要花钱买，5元一副，这点不爽
不要低头，皇冠会掉,0,10,好评,很好看，特搞笑，说川普
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
忆佰诗,1,10,好评,"这也太好看了吧！毫无疑问是我从小到大已来看过的最最优秀的动画片，不亚于心目中的“幽灵公主”。真正的有泪有笑毫无疑问！！这部电影绝对是中国动画电影的一座丰碑，他是一次对封神的挑战，是对我们每个人都无比熟悉的故事的一次改编。在故事上，改造一个人尽皆知的故事远比创新更难，而且还要改得好，改的精彩，更是需要绞尽脑汁的思考和夜以继日的奋斗，我想这也是他在我心中比大圣和大鱼更优秀的地方。
PS:我一个铁石心肠的人，观影过程中，落泪5次！！导演，你不是“人”！"
地平线的奇幻漂流,0,10,好评,前一段还真的笑得喘不过来气，到后面眼睛不时地湿润起来，真的是从骨子里的不认命，不信天命，真的就是中国人千百年来的血脉精神，值得一看，不进对孩子有更深的教育作用，真的是适合全部的中国人看
三天心情,2,9,好评,强烈推荐！帅爆了！藕霸和大圣有一拼！中国动画雄起！！！！！！
Jet98,1,9,好评,期待国产的封神宇宙！哪吒小爷本次表现可圈可点，酷，帅，有智商，有担当！希望票房大爆！在哪吒面前，谁也帅不起来！
🏀,0,10,好评,"有泪点，有笑点，还有几个片段挺鼓舞人心的。
这部国漫画的挺好的，期待国漫会越来越好。"
