name,midd
Pianoboy高至豪,0034R9hT1SklZU
金润吉,002gC7Yc0KoAJ2
刘增瞳,001hATZn3J0Hyy
枫宇辰,003kfPW62zscjR
卢冠廷,001kHB0v1AiUNg
Calvin Harris (加尔文·哈里斯),004RKkVx1tZcSC
Tez Cadey,000ndQx82fsq8Z
Aimer (エメ),0039EKtl4ec7wv
陆虎,004gbMvP356XaI
WINNER (위너),000ILl674858TZ
黄凯芹,0041l9xT317k8V
汤潮,0003DXq13La1p8
小贱（谭冰尧）,001ZRG9K1UUgk9
蓝琪儿,0035ogqF0PRFH7
Fly Project,001ZOIyi04KTC2
陈势安,0049u0DR3G9Rgv
樊竹青,001h4uUa1d5aZI
Rag'N'Bone Man,004OARMr336SLD
王若琳,000acAza2tciF8
Groove Coverage (舞动精灵乐团),001CmAqB4LJV0u
姚贝娜,004CUiQw0vJInp
老狼,002WkEWV1TA75B
范晓萱,000CLIfb03b9k7
BTS (防弹少年团),001TpDgn4SxyJn
刘可,001fo8aN060u1m
刘思涵,0030tOaw01vdLW
陈芳语,002wP0tt0HIzAn
姜育恒,001SDJ7y2qo9wz
majiko (まじ娘),001pU0uP3NkGza
霍尊,0018bYjA4bdNNi
LEE HI (李遐怡),001EIMtC3AlOLc
邓丽欣,002j9xSX4SM69Y
青蛙乐队,002k5BTH37p9sP
黄小琥,0003Aksc3Iisgq
弦子,002LJqM93gNF52
郝云,0044gacX2dLf6i
Tizzy T,000UismY3Pa6Qh
Tank,002fvJdl2yNaXT
张赫宣,000SJp6n49rDgl
Sam Hunt,003tHv3P3TfQAI
李瑨瑶,001mPydm1sS2HE
Craig David (克雷格·大卫),000ORrN70zDZX8
李佳薇,0026IlCw2uKeZi
呦猫UNEKO,003VD9fu3Eh1q4
DJ Snake,003hyJQg0Mc80t
戚薇,002FMuXL1U6ABd
赵鑫,004Qf3ma2QWd4k
Ellie Goulding,001YMoro1NL5hU
Michael Learns To Rock (迈克学摇滚),003ScO1y3c5a0H
Deorro,003k7nOP4ErAm8
丁可,00106KUa2isNMz
黄渤,001eWKy81dZfCs
陈冠蒲,001cyBld1IQxAh
草蜢,003pVJZJ2uEq4j
董真,001mwvqv18JtGT
Little Mix,0035W1HO3pRPKM
高梨康治 (たかなし やすはる),003b7byz4JUrXQ
星月组合,000d7t570FaQhe
香香,001mvXGl0WEGR4
巫启贤,003EL2So3NxH6K
Nightwish (夜愿),002KCT6c3Mqn9H
Céline Dion (席琳·迪翁),003IWVh42ClFnB
徐怀钰,002vw6Zc1C4sMm
严艺丹,001ngJED2j4nNl
雨宗林,004FtTNW2b0tJi
DJ OKAWARI,002k4eTx0wxDFm
谢霆锋,004GPm8B362txY
曹越,004RSzRA1gVrth
Alex Goot,004Tvn7x4G3qAm
罗大佑,002T0ifq4LjAcD
周慧敏,0000ETfl2XvUfM
Achim Reichel,004VSazN1HfDlw
花粥,00169imA4Iub3I
李琦,000itww408VVeN
云飞,002XvnGI1wpt7a
许冠杰,0005FEv73Z2scR
马旭东,003wWQBU0fHBcj
陈学冬,003vyHwp0iVQZp
GARNiDELiA (ガルニデリア),003xVwF32VaW5k
赖伟锋,004fQ7q30mSD4Z
何洁,001Zu9d92MKxNu
杨钰莹,004Swn9n2nDSbs
河图,001AkuJH2G5OJJ
欢子,0039nMJx35Mya4
庞龙,0028Nlrh19a7sX
萌萌哒天团,003rJfMG3PPqWd
Twins,000BwYzf1pWCFB
Colbie Caillat (蔻比·凯蕾),001Y2VLp2aswI9
任立佳,004cIQS835VMb8
郭静,0043Zxw10txf5O
伍佰 & China Blue,004OTPJW1frR0y
Kesha (凯莎),000QmvRp2929hJ
Jessie J (婕茜),004Mu8QL4FditN
苏勒亚其其格,0006DNTE303bst
余佳运,001PZ4z50dbbDo
王丽坤,00272D1a04KZNL
Feint,00220AYa4Ohak5
T-Pain,002YvZFo2BaNVH
央金兰泽,004Sp1ez1j2CG1
望海高歌,001r9gSh4HW230
张智霖,004HStLx460K4g
刘涛,000BFczD2NDqrN
张栋梁,003Ai7WA1LhyAf
贰佰,003r4Mf04S5JMr
The Glitch Mob,004H6Jcb0phbdr
PSY (朴载相),002vbc3A2bv88T
龙飞,0020k6kb4cGdAi
麦振鸿,002bMZTe37QlOA
林妙可,0038MLAY3J39s9
赵紫骅,000LUIBr4Uwt2J
罗志祥,003jECh24XL3yh
费玉清,0040MELG3TS8OW
谢春花,003hTTjo3JYqgM
黑鸭子组合,004CgtOM2ULH9w
以冬,000y58BN18are3
Lindsey Stirling,001dmX1l2wJmrf
格子兮,001aR1IZ0P5j0o
陈淑桦,000bIVX74I5zk5
许美静,000jiXJP0fMEbc
张卫健,003TrPd01f3OYo
旅行团乐队,001JYsh131vdGw
郭富城,003yM0OT1EPY0y
吉克隽逸,001bv9fL3w7HQj
戴荃,001B26VQ39vxHS
誓言,00029t0u3voA1S
王铮亮,001iaSfi07zuSE
曾沛慈,001YzayJ1iMus1
CHEN (첸),0006cJUQ4J3AUY
林峯,0028iJ7f3Tjl97
5 Seconds Of Summer,004fWb2E1ucmbn
安东阳,004eV9tg4FkMMb
邱永传,004Wa94P47zsXL
雷婷,001lvqww1XYOSQ
伯贤 (백현),0029SxgR215af5
罗之豪,003NhXGS3BUgCj
DJ小可,003dh0RL3sOHdP
韩磊,004S4qml3jrkit
火箭少女101孟美岐,002wD2gJ1PQ10C
崔子格,004QYGOE4OeXgX
苏芮,0022mAua0xcjon
李丽芬,003hyLrs2w5hhM
司徒兰芳,000406Hj0ci4wW
王强,004MwD3H1FDY6t
艾福杰尼,0027W3Jw0PYnHt
소녀시대 (少女时代),003lf9Ia28XvH1
胜屿,001z6uGh1j5qBh
齐晨,000H4xDG3heHtr
Kygo (凯戈),003cWvwH1LNlbN
毕书尽,001wFKlU3ZNLKf
苏琛,004SLMIV3J1xwR
赵海洋,000NSBcL3v5mJj
黄品源,001MeKQO0NeefQ
The Downtown Fiction,002ggyZs2NuEvE
徐薇,002niwCW4TzDMb
蔡旻佑,003zk4zd4bPUWm
不才,002ZJbvE1TBHMD
阿木,004fDJTb3uhyNQ
Carpenters (卡朋特乐队),003OXXkD1T0eP4
龚玥,000jqHMB1iLuTg
韦礼安,002hnZeF2kCKQa
舞曲,000NdpYk2T8nCB
黄龄,003AKgLE4SfjsK
乌兰托娅,000g0gVO1bN1DQ
Backstreet Boys (后街男孩),002FPYov3I2f9q
Vk,002p2Uo034oxBB
童安格,004IwCAG1J2gJU
李玲玉,002Jg9bJ0TccxV
헤이즈 (Heize),002aMjMG1OxMB5
王绎龙,003u8FLw0PnQ3E
刘佳,00062S8A15HNVz
徐小凤,0021s7e94Aqglw
李娜,003pS7h80IYmRD
杨洋,004coWV04C5FCV
成龙,000nmQ1v0JGExN
刘沁,001rsyQs4MMZvk
王蓉,0006VgHc1wRsSz
Queen (皇后乐队),002KTnqQ0l2975
易欣,001A0zNI2zfxii
王童语,004WDNFi2FPDVF
Blue (蓝乐团),004Fol6s2uca3n
Mark Ronson,003pmTzr2LXWMH
葛林,002OfR3n1vx75j
阎维文,0040znUO08D9fS
陈明,0034F6hV2P526f
文武贝,000ZLVUZ14y0HS
黄霄雲,000oCQfT3kdonw
秦岚,004FX6U70fgHL9
张悬,000bfa1f0IWKn0
Britney Spears (布兰妮·斯皮尔斯),002EYdg22Ts0BV
郑少秋,00373cyt4G6kpo
韦雄,0018Gc4t2sEtKo
赵传,003JUs4X1xzjld
游鸿明,002qezg71e59Kf
杨幂,002Yj6qQ4Pm381
刘辰希,002qVlUv43DJ3h
黎明,001wYy5s2mM3Tq
曹格,001iHAHQ3FTqQX
薛凯琪,002H2FME3sl3Ne
音频怪物,001O2cJY0fnmg5
Shakira (夏奇拉),003IpJo44NX2AE
钟镇涛,001ZEnNS19gR0h
Sam Smith,001opJBA3LDeSz
曾轶可,001Z043U01BqsW
迪丽热巴,001FcyzJ3m0hbQ
Steerner,004SPWtw0ExxdR
梦洛伊,0042z9w42tcUwn
蔡琴,000BTnYZ1Fcj83
Beyoncé (碧昂丝),000WivmL3V12Fc
罗文,0011E6iP3x2vRn
欧阳朵,001iI8LW0ZRpXn
Pitbull (皮特保罗),001nwdiK02hg0y
苏运莹,003Augcx1XmqVh
吕方,00081ZN91FD8QW
郑欣宜,002WSpMB1xp64n
冯曦妤,001krjnH2OVWDK
Mariah Carey (玛丽亚·凯莉),000zzzra2D2Stn
Bebe Rexha,0047Atwu2anPlX
阿宝,003oUwJ54CMqTT
天籁天,002qPeYb49Yo0L
Halsey,001cH2lT4Uh8QS
梁汉文,001srHmw2Mhtlq
丢火车乐队,00481OfY48EFE7
玄觞,0011C4aN0Es0ZU
M2M (窈窕美眉),001tOjjM1IApLB
王呈章,002o2pqM3EcP1U
T-ara (티아라),001FHOkh2t1ROR
黄晓明,00418lWJ21JN1l
侯旭,0025E4lc1Jp2vj
樊凡,003IXj9V2CvtFg
兮雅,001byqcW3w2NJG
梦飞船,002E2f671wzXyY
初音ミク (初音未来),0007x1RE3c4jEk
F4,002YLmsf15S2AD
GOT7 (갓세븐),002SfPHq3JCBJQ
晨熙,001VlV0o2H1tTZ
The Script (手稿乐队),003SRSef3UKxIT
左宏元,0041DmuJ2ipASg
T.R.Y,002SgonK08U38t
いきものがかり (生物股长),003Dlry81NuWSO
邝美云,001lEIeU2bmx9y
王栎鑫,000TprbQ0R4aGb
Meghan Trainor,001Jo2n914cEZz
关喆,004WQ23u0iDwsJ
Daniel Powter (丹尼尔·波特),002OSfGH2iq7wx
吴若希,001E7ELU1UeaEH
李谷一,004Zi1th1ukmJV
渔圈,000f0BYT3PEelv
张津涤,002L1M7q12YoJi
樊少华,000CJjNB1gBDpd
Timmy Trumpet,000E7YQQ4Bx7RP
Dua Lipa,0015cdSZ1a29mg
Drake,001FAb1d02xUcH
DJ小鱼儿,002YZsgF2rNFZL
韦星弟,0020QhkE36IbmY
阿鲁阿卓,001xIZCJ1JVqEu
庄妮,003jEVSg4OBw7F
Tiësto (铁斯托),0019ZGke4cTqhI
태양 (太阳),002Of0Px3EDXCW
Redbone,001gBw4I3cmNuE
Jason Derulo,004TfAHg2stYrs
赵照,001bAT7U34kJP0
任盈盈,002BuQQU0LgazK
凤飞飞,002srVjx43CJRw
高姗,001fHe3P3HNKBJ
Rachel Platten (瑞秋·普蕾顿),000n2g6N3AcFT5
容中尔甲,004Pvr8Z480d3y
邓超,0039Dmhi0dVZc9
卢巧音,001eCe952euE6Q
WANDS (ワンズ),002lBFx53dUIpQ
马天宇,000FF56x1ZCWkB
孙晨,000EwSOA2udDjs
王馨,000aaMhK0TG90G
Demi Lovato (黛米·洛瓦托),002G4iB42kFH8t
比莉,004HZcui2e2Iej
彭羚,001GnU7a0kBSHD
张镐哲,003TzBBN1pnPxG
许廷铿,00367xza48QUVv
尚雯婕,002xqNxr0cVp0E
裘海正,002hsUoJ3XpVkm
龙飘飘,002ImZnn1tgHS1
王峰,004Ilfdp4EKQh1
张玮,003Y98C04dlTYN
Darin,003HcPBe487z7O
阿悄,0040Eq913AwwEZ
赵真,003KdiUF32ZhAN
Axero,004BEkqu2Oyx5R
飞轮海,002FTSfR2lcnnw
陈洁仪,001SzsyF0TEjf1
常艾非,0007MXSo1voOqk
波拉,003chNOH259kVC
罗百吉,000QFFDM1YChn3
Chris Medina,000cf1Zf2Hqe7t
Mark Petrie,001AuJfe2qAOev
Epik High (에픽하이),004YJmom3tjFZN
张柏芝,0042LuKs3jivSY
沈念,002ZpYdy34nAXs
Approaching Nirvana,004AHHze1r2YUl
黄明志,000UCOXZ4ZpIgg
雨中百合,001tYW3b0S3Rd9
夏天Alex,0018fnn70XaY0y
